architecture,compiler,optimization,label,num_basic_blocks,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,instruction_count,immediate_entropy,bitwise_op_density,table_lookup_presence,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count
x86,gcc,Os,SHA-256,6,4,1,1,0.125,237.8333333333333,1427,1.7441435571575898,0.2035770006378443,1,9532,209.875,0.078489448352462,0.3129396519807478,0.0600703443169196,0.0348019252128841,0.0062939651980747,0.0510921880784894,1,1,0,0,0,0,196,3933,928,1117,0.0600703443169196,5.881367045426655,2.607601962370262,0.0028030833917309,76
x86,gcc,Os,SHA-256,1,1,0,0,0.0,24.0,24,2.513967900159666,0.050632911392405,1,38,0.0,0.189873417721519,0.0379746835443038,0.2278481012658227,0.0126582278481012,0.0126582278481012,0.0,1,1,0,0,0,0,8,3,1,21,0.2278481012658227,5.474012036635328,2.4442605858815694,0.0416666666666666,13
x86,gcc,Os,SHA-256,1,3,1,1,0.5,17.0,17,1.6090832807753128,0.0655737704918032,1,30,0.0,0.1311475409836065,0.0655737704918032,0.1967213114754098,0.0,0.0,0.0,1,1,0,0,0,0,20,4,0,15,0.1967213114754098,4.516107249397345,2.635507597765978,0.1764705882352941,14
x86,gcc,Os,SHA-256,13,10,2,2,0.0952380952380952,6.538461538461538,85,1.2589362976109029,0.1525064064193101,1,366,2.380952380952381,0.1033057851239669,0.1735537190082644,0.128099173553719,0.0020661157024793,0.0206611570247933,0.0082644628099173,1,1,0,0,0,0,44,88,5,85,0.128099173553719,5.794008911168064,2.7376115995637704,0.1176470588235294,46
x86,gcc,Os,SHA-256,1,2,1,1,1.0,7.0,7,1.3946594576480178,0.0,1,6,0.0,0.1875,0.0,0.25,0.0,0.0,0.0,1,1,0,0,0,0,12,0,0,4,0.25,3.784183719779188,2.1774212838293647,0.2857142857142857,4
x86,gcc,Os,SHA-256,19,14,6,5,0.1935483870967742,6.947368421052632,132,0.966730032357252,0.2624749129926006,1,718,6.193548387096774,0.0749440715883668,0.2841163310961969,0.0615212527964205,0.0100671140939597,0.0257270693512304,0.029082774049217,1,1,0,0,0,0,44,280,35,127,0.0615212527964205,5.8833507134465854,2.6532488194998765,0.106060606060606,49
arm64,gcc,O0,SHA-256,1,2,1,1,1.0,11.0,11,1.4611843442371142,0.0,1,4,0.0,0.2941176470588235,0.0,0.2352941176470588,0.0,0.0,0.0,1,1,0,0,1,0,32,0,0,10,0.2352941176470588,4.362507470762515,2.374556048381884,0.1818181818181818,10
arm64,gcc,O0,SHA-256,1,2,1,1,1.0,11.0,11,1.4611843442371142,0.0,1,4,0.0,0.2941176470588235,0.0,0.2352941176470588,0.0,0.0,0.0,1,1,0,0,1,0,32,0,0,10,0.2352941176470588,4.268377710533509,2.374556048381884,0.1818181818181818,10
arm64,gcc,O0,SHA-256,1,2,1,1,1.0,11.0,11,1.4611843442371142,0.0,1,4,0.0,0.2941176470588235,0.0,0.2352941176470588,0.0,0.0,0.0,1,1,0,0,1,0,32,0,0,10,0.2352941176470588,4.31705292530797,2.374556048381884,0.1818181818181818,10
arm64,gcc,O0,SHA-256,1,2,1,1,1.0,11.0,11,1.4341679379748218,0.0,1,4,0.0,0.2941176470588235,0.0,0.2352941176470588,0.0,0.0,0.0,1,1,0,0,1,0,32,0,0,10,0.2352941176470588,4.42511855035714,2.374556048381884,0.1818181818181818,10
arm64,gcc,O0,SHA-256,1,2,1,1,1.0,11.0,11,1.4276608525900112,0.0,1,4,0.0,0.2941176470588235,0.0,0.2352941176470588,0.0,0.0,0.0,1,1,0,0,1,0,32,0,0,10,0.2352941176470588,4.42511855035714,2.374556048381884,0.1818181818181818,10
arm64,gcc,O0,SHA-256,1,2,1,1,1.0,11.0,11,1.4276608525900112,0.0,1,4,0.0,0.2941176470588235,0.0,0.2352941176470588,0.0,0.0,0.0,1,1,0,0,1,0,32,0,0,10,0.2352941176470588,4.362507470762515,2.374556048381884,0.1818181818181818,10
