has_aes_sbox,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,instruction_count,immediate_entropy,bitwise_op_density,table_lookup_presence,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,rotate_ratio,num_conditional_edges,num_unconditional_edges,rodata_refs_count,stack_frame_size,bitwise_ops,arithmetic_ops,cyclomatic_complexity_density,architecture_arm32,architecture_arm64,architecture_avr,architecture_mips,architecture_riscv,architecture_x86,compiler_gcc,optimization_O0,optimization_O1,optimization_O2,optimization_O3,optimization_Os,label
0,1,1,2,1,1,1.0,4.0,1,2,4,0.7838054550605168,0.0,0,4,0.0,0.1,0.0,0.0,0.0,0.0,0,1,1,0,0,1,0.5,False,True,False,False,False,False,True,False,False,True,False,False,SHA-256
0,1,1,2,1,1,1.0,4.0,1,2,4,0.71493326750643,0.0,0,4,0.0,0.1,0.0,0.0,0.0,0.0,0,1,1,0,0,1,0.5,False,True,False,False,False,False,True,False,False,True,False,False,SHA-256
1,11,11,2,1,1,0.0909090909090909,1.0909090909090908,3,11,12,0.2969817945335171,0.0,1,10,0.0,0.0909090909090909,0.0,0.0909090909090909,0.0,0.0,2,9,0,0,0,2,0.1666666666666666,False,False,False,False,True,False,True,False,True,False,False,False,SHA-256
1,7,8,3,0,0,0.0,2.0,2,9,14,1.0940455142829986,0.0642857142857143,1,12,0.0,0.2777777777777778,0.0555555555555555,0.1111111111111111,0.0,0.0555555555555555,0,8,0,16,4,10,0.2142857142857142,False,False,False,False,True,False,True,False,True,False,False,False,SHA-256
1,8,9,3,0,0,0.0,2.125,2,10,17,1.1500931287774931,0.05625,1,8,0.0,0.2790697674418604,0.0465116279069767,0.1395348837209302,0.0,0.0465116279069767,0,9,0,0,4,12,0.1764705882352941,False,False,False,False,True,False,True,False,True,False,False,False,SHA-256
1,5,6,3,0,0,0.0,1.8,2,7,9,1.4739984688051873,0.1,1,8,0.0,0.2962962962962963,0.074074074074074,0.074074074074074,0.0,0.074074074074074,0,6,0,0,4,8,0.3333333333333333,False,False,False,False,True,False,True,False,True,False,False,False,SHA-256
1,7,8,3,0,0,0.0,2.2857142857142856,2,9,16,1.084795263633717,0.0561224489795918,1,12,0.0,0.2553191489361702,0.0425531914893617,0.1276595744680851,0.0,0.0638297872340425,0,8,0,16,5,12,0.1875,False,False,False,False,True,False,True,False,True,False,False,False,SHA-256
0,1,0,1,0,0,0.0,3.0,2,1,3,1.303515793128299,0.2,0,2,0.0,0.4,0.0,0.0,0.0,0.2,0,0,0,0,1,2,0.3333333333333333,False,False,False,False,True,False,True,False,True,False,False,False,SHA-256
1,1,0,1,0,0,0.0,3.0,2,1,3,2.1604572813985072,0.2,0,4,0.0,0.4,0.0,0.0,0.0,0.2,0,0,0,0,1,2,0.3333333333333333,False,False,False,False,True,False,True,False,True,False,False,False,SHA-256
1,1,0,1,0,0,0.0,14.0,1,1,14,1.3050869157816476,0.175,1,24,0.0,0.225,0.125,0.15,0.0,0.05,0,0,0,20,7,11,0.0714285714285714,False,False,False,True,False,False,True,True,False,False,False,False,SHA-256
1,1,1,2,1,1,1.0,35.0,0,2,35,1.4608483126901814,0.2125,1,48,0.0,0.2125,0.15,0.15,0.0,0.0625,0,1,1,32,17,17,0.0571428571428571,False,False,False,True,False,False,True,True,False,False,False,False,SHA-256
1,4,5,3,2,2,0.4,12.75,1,4,51,1.2071449180913385,0.0766055949566587,1,90,0.0,0.2481203007518796,0.0526315789473684,0.18796992481203,0.0,0.0300751879699248,1,4,1,48,11,33,0.0588235294117647,False,False,False,True,False,False,True,True,False,False,False,False,SHA-256
1,1,0,1,0,0,0.0,25.0,1,1,25,1.1539872989755764,0.25,1,44,0.0,0.1875,0.2291666666666666,0.125,0.0,0.0208333333333333,0,0,0,20,12,12,0.04,False,False,False,True,False,False,True,True,False,False,False,False,SHA-256
1,1,1,2,1,1,1.0,33.0,0,2,33,1.4575901657336734,0.1318681318681318,1,56,0.0,0.2307692307692307,0.1208791208791208,0.1758241758241758,0.0,0.0109890109890109,0,1,1,40,12,21,0.0606060606060606,False,False,False,True,False,False,True,True,False,False,False,False,SHA-256
1,1,1,2,0,0,0.0,53.0,0,2,53,1.6310393391151106,0.1304347826086956,1,86,0.0,0.2318840579710145,0.0869565217391304,0.1956521739130435,0.0,0.0434782608695652,0,1,1,40,18,32,0.0377358490566037,False,False,False,True,False,False,True,True,False,False,False,False,SHA-256
1,3,3,2,0,0,0.0,10.333333333333334,1,3,31,1.101938481798442,0.0886243386243386,1,54,0.3333333333333333,0.25,0.0434782608695652,0.2065217391304347,0.0,0.0,1,2,0,32,4,23,0.064516129032258,False,False,False,True,False,False,True,True,False,False,False,False,SHA-256
1,1,224,225,224,224,1.0,3736.0,0,2,3736,1.613993860495696,0.1660030627871363,1,5992,0.0,0.224400204185809,0.1258805513016845,0.1679428279734558,0.0318529862174578,0.0082695252679938,0,224,224,128,1314,2198,0.0602248394004282,False,False,False,True,False,False,True,True,False,False,False,False,SHA-256
1,6,8,4,1,1,0.125,7.0,1,7,42,1.1192005443421071,0.0514249155237527,1,70,0.5,0.2293577981651376,0.0642201834862385,0.1834862385321101,0.0,0.0091743119266055,2,6,1,40,8,25,0.0952380952380952,False,False,False,True,False,False,True,True,False,False,False,False,SHA-256
1,20,39,21,7,7,0.1794871794871795,9.6,2,24,192,1.0111377404003952,0.0537241883290401,1,346,0.4615384615384615,0.2231075697211155,0.0597609561752988,0.1852589641434263,0.0,0.0019920318725099,11,28,9,48,31,114,0.109375,False,False,False,True,False,False,True,True,False,False,False,False,SHA-256
1,5,9,6,1,1,0.1111111111111111,11.2,2,8,56,1.1707476296377606,0.0947946859903381,1,84,0.4444444444444444,0.2260869565217391,0.1304347826086956,0.1478260869565217,0.0,0.008695652173913,2,7,3,56,16,26,0.1071428571428571,False,False,False,True,False,False,True,True,False,False,False,False,SHA-256
1,13,29,18,6,6,0.2068965517241379,16.076923076923077,1,18,209,1.0902362261664804,0.0428533795469279,1,330,0.3103448275862069,0.2286821705426356,0.0813953488372093,0.1763565891472868,0.0,0.0077519379844961,6,23,11,40,46,120,0.0861244019138756,False,False,False,True,False,False,True,True,False,False,False,False,SHA-256
1,1,1,2,1,1,1.0,23.0,1,2,23,1.5754545690081685,0.1525423728813559,1,44,0.0,0.2203389830508474,0.135593220338983,0.1525423728813559,0.0,0.0169491525423728,0,1,1,32,9,13,0.0869565217391304,False,False,False,True,False,False,True,True,False,False,False,False,SHA-256
1,1,0,1,0,0,0.0,9.0,2,1,9,1.301569477379927,0.1818181818181818,1,16,0.0,0.2272727272727272,0.1818181818181818,0.1363636363636363,0.0,0.0,0,0,0,20,4,5,0.1111111111111111,False,False,False,True,False,False,True,True,False,False,False,False,SHA-256
